Concentration,VOC,JSC,ff,PCE
0,0.900298,19.422457,0.413355,7.22793
0,0.975219,15.048214,0.565511,8.29905
0,0.950037,17.5858,0.547391,9.145352
0,0.975224,23.2985,0.57366,13.034285
7,0.949895,22.522114,0.564468,12.07603
7,0.850113,17.945029,0.694475,10.594421
7,0.900152,17.392829,0.611791,9.578319
7,0.999924,23.688514,0.587193,13.908677
15,0.974974,22.106943,0.502627,10.83347
15,0.874883,16.851471,0.652459,9.619245
15,0.749896,15.854029,0.494564,5.879801
15,0.974977,22.597843,0.574973,12.668018
29,0.949921,21.894843,0.445343,9.262418
29,0.875013,16.544671,0.566737,8.204535
29,0.850164,15.032371,0.491005,6.275028
29,0.975121,22.147829,0.509491,11.003377
36,0.949715,21.203943,0.465692,9.377974
36,0.94973,17.089314,0.579043,9.397999
36,0.874812,14.878286,0.583873,7.599526
36,0.974887,21.3156,0.515307,10.708232
43,0.949741,22.448514,0.442634,9.437077
43,0.949739,18.470871,0.557845,9.786005
43,0.924894,15.280071,0.541858,7.657785
43,0.974914,21.953443,0.515587,11.034961
50,0.9498602,20.3617,0.39946220580347763,7.725906020715728
50,0.8500957,16.802328571,0.498882816802425,7.1258362504
50,0.7748219,15.369442857,0.5470504055514516,6.514594019860081
50,0.9250031,19.317514286,0.4636780995454089,8.285352955704
