Concentration,VOC,std_VOC,JSC,std_JSC,ff,std_ff,PCE,std_PCE
0,0.85013875,0.035324749042515,18.05841775,2.4505544118877,0.492589,0.093534004729118,7.714469,2.69544262709968
7,0.850031,0.0457026245562915,18.88299275,1.09163239597445,0.47239075,0.0433648606698634,7.56089,0.634746989174427
15,0.84358975,0.0474019307931298,15.32307725,3.40324180779517,0.48359975,0.0628674329594956,6.17545675,1.21341093221886
29,0.833432333333333,0.0289047529021324,16.459765,4.90272364585115,0.492888333333333,0.0525641929200224,6.62213633333333,1.49406660235792
36,0.816554666666667,0.0577991131102661,15.201663,3.57009194767698,0.498270666666667,0.0608976692274288,6.08178033333333,1.10691793202763
43,0.799781,0.129964432407486,15.6592723333333,3.25846193718391,0.428381666666667,0.0567489643459097,5.21163033333333,0.212270554515536
50,0.8249457,0.054023455673994046,14.549972499749998,3.6241094049289546,0.45659342796990754,0.05905406819352496,5.390779540196199,1.075647435177808
