Concentration,VOC,std_VOC,JSC,std_JSC,ff,std_ff,PCE,std_PCE
0,0.94,0.0721364523039497,21.14,4.19413539284662,0.59386925,0.0212524068029169,11.8137405,2.80345078007248
7,0.90007225,0.0204359081255683,22.26970725,3.45522893882671,0.61264875,0.0326437705478907,12.2810685,2.11673994193925
15,0.824808,0.173392142251795,21.44829275,3.57723121838314,0.4788885,0.138002861401494,9.37314125,5.71877811399063
29,0.9249855,0.0000176729548557523,18.9319785,5.54324187480085,0.49752325,0.0376868133115992,8.755131,2.8568156414962
36,0.94347375,0.0124385120057291,19.4589,3.06837055458224,0.48983175,0.0325278853127077,9.030877,1.86510026411772
43,0.90606025,0.0374639746189589,19.9513965,2.76082936616499,0.48897875,0.0350498792140097,8.94603025,2.1986638420088
50,0.9310566,0.012457957738730662,17.41805,3.1244490270779464,0.4904932391607032,0.030402597787594056,7.989920549911839,1.8099258486461118
